241,317,1,1
21,222,1,1
428,185,3,3
573,348,1,1
356,76,1,2
63,210,1,1
324,312,2,2
433,23,1,1
534,99,2,2
9,212,1,1
118,10,1,1
570,361,1,1
767,323,1,1
76,388,1,1
138,116,2,3
300,116,2,2
292,366,1,1
741,254,1,2
769,10,1,1
38,215,1,1
527,94,1,1
602,221,3,3
186,219,1,1
100,337,1,1
379,118,3,3
56,312,1,1
626,57,1,1
678,308,1,1
58,232,1,1
185,340,1,1
149,284,1,2
124,390,1,1
764,30,1,1
651,48,1,1
589,250,3,3
575,211,3,3
525,310,2,2
354,293,2,2
581,82,1,1
721,386,1,1
686,85,1,1
285,311,1,1
581,226,2,2
525,151,3,3
523,138,3,3
17,37,1,1
448,276,2,2
90,138,2,2
462,72,1,1
211,69,1,2
89,184,2,2
559,130,3,3
599,111,3,3
83,263,1,2
346,319,2,3
396,172,3,3
58,217,1,3
595,181,3,3
398,88,1,1
482,67,1,1
727,161,1,1
187,32,1,1
721,139,2,2
109,365,1,1
462,92,1,1
715,116,1,1
142,83,1,1
444,365,1,1
483,150,3,3
533,383,1,1
438,242,2,2
126,310,1,1
765,285,1,1
131,177,2,2
155,259,1,1
420,11,1,1
407,9,1,3
690,97,1,1
149,300,1,1
58,240,1,1
158,318,1,1
685,142,2,2
369,52,1,1
693,283,1,1
106,58,2,2
390,122,3,3
262,313,1,1
56,307,1,1
276,309,1,1
314,137,3,3
583,236,3,3
1,389,1,1
536,187,3,3
240,314,1,1
374,78,1,1
314,368,1,1
264,206,2,2
221,195,2,2
750,181,1,1
282,112,2,2
407,333,2,2
189,236,1,1
527,63,1,1
223,118,1,1
631,19,1,1
735,259,1,1
569,67,1,1
315,237,2,2
183,230,1,1
132,347,1,1
26,18,1,1
477,324,2,2
87,38,1,1
21,262,1,2
261,369,1,1
573,87,1,1
134,165,2,2
486,58,1,1
367,279,2,2
452,349,1,1
284,274,2,2
547,200,3,3
245,381,1,1
438,187,3,3
23,187,1,1
16,306,1,1
394,364,1,1
45,197,2,2
225,23,1,1
390,138,3,3
718,96,1,1
169,72,1,1
398,191,3,3
576,101,1,1
126,369,1,1
131,148,2,2
114,139,2,2
503,210,2,2
668,208,3,3
749,300,1,2
297,148,3,3
237,218,2,2
449,287,2,2
356,137,3,3
126,389,1,1
182,359,1,1
707,367,1,1
251,37,1,1
619,295,1,1
705,187,1,1
287,146,3,1
642,32,1,1
672,192,3,3
283,118,2,2
51,342,1,1
744,176,1,1
553,91,1,1
311,191,3,3
675,97,1,1
17,371,1,1
139,310,1,1
531,340,1,1
453,68,1,1
178,297,1,1
186,296,1,1
118,136,2,2
558,27,1,1
748,383,1,1
154,170,2,2
531,232,2,2
204,361,1,3
459,104,3,3
401,200,2,2
202,265,1,1
695,332,1,1
729,141,3,3
151,8,1,1
241,237,2,2
613,250,3,3
383,222,2,2
219,93,1,1
449,125,3,3
284,105,2,1
175,262,1,1
745,20,1,2
61,25,1,1
272,349,1,1
401,73,1,1
67,13,1,1
51,279,1,1
564,376,1,1
361,64,1,1
420,55,1,1
515,194,2,2
194,219,1,1
204,100,1,2
751,148,1,1
84,134,2,2
667,230,1,1
172,238,1,1
176,274,1,1
464,235,2,1
498,123,3,3
344,72,1,1
256,154,3,2
192,134,1,1
31,155,1,1
347,338,1,2
151,285,1,1
601,203,3,3
751,137,1,1
538,88,2,1
497,110,3,2
14,196,1,1
339,236,2,2
42,76,1,1
291,249,2,2
323,260,2,2
5,140,1,1
50,306,1,1
153,82,1,1
119,308,1,1
455,233,2,2
352,59,1,1
211,153,3,3
689,23,1,1
322,25,1,1
246,110,2,2
317,76,1,1
276,170,3,3
716,42,1,1
541,73,2,2
285,269,2,2
278,271,2,2
8,304,1,1
230,198,2,2
680,125,3,3
315,152,3,3
173,198,1,1
743,122,1,1
173,349,1,3
608,76,1,1
714,331,1,1
620,380,1,1
499,228,2,2
653,322,1,1
322,282,1,1
407,231,2,2
647,391,1,1
761,330,1,1
563,142,3,3
382,324,2,2
85,8,1,1
450,42,1,1
686,84,1,1
256,138,3,3
400,116,3,3
162,262,1,1
408,10,1,1
648,361,1,1
479,116,3,3
557,175,3,3
679,330,1,1
229,7,1,1
518,36,1,1
225,62,1,1
540,156,3,3
501,329,2,2
619,308,1,1
514,55,1,1
738,301,1,1
621,33,1,1
431,158,3,3
103,326,1,1
415,239,2,2
146,85,1,1
